Kind;Code;Dimensions(cm);Height;Depth;Width;Color;In_stock;Minimal_stock;Customer_price;NbPartsByLocker;Supplier1_price;Supplier1_shipping_time;Supplier2_price;Supplier2_shipping_time
Door;DOR3252WH;32(h)x52(L);32;0;52;White;46;16;8,32;2;6,82;12;5,53;13
Door;DOR3252MA;32(h)x52(L);32;0;52;Marron;47;16;8,32;2;7,31;5;5,4;14
Door;DOR3252GL;32(h)x52(L);32;0;52;Glass;42;16;16,64;2;13,48;11;11,53;15
Door;DOR3262WH;32(h)x62(L);32;0;62;White;42;16;9,92;2;7,95;12;6,88;14
Door;DOR3262MA;32(h)x62(L);32;0;62;Marron;40;16;9,92;2;8,4;7;5,97;17
Door;DOR3262GL;32(h)x62(L);32;0;62;Glass;40;16;19,84;2;17,74;6;13,05;10
Door;DOR4232WH;42(h)x32(L);42;0;32;White;47;16;6,72;2;5,69;6;4,2;17
Door;DOR4232MA;42(h)x32(L);42;0;32;Marron;46;16;6,72;2;5,96;11;4,43;11
Door;DOR4232GL;42(h)x32(L);42;0;32;Glass;43;16;13,44;2;11,57;10;8,72;18
Door;DOR4242WH;42(h)x42(L);42;0;42;White;44;16;8,82;2;7,23;6;5,84;13
Door;DOR4242MA;42(h)x42(L);42;0;42;Marron;43;16;8,82;2;7,41;12;5,75;15
Door;DOR4242GL;42(h)x42(L);42;0;42;Glass;45;16;17,64;2;15,27;10;10,7;15
Door;DOR4252WH;42(h)x52(L);42;0;52;White;43;16;10,92;2;9,56;10;6,67;10
Door;DOR4252MA;42(h)x52(L);42;0;52;Marron;46;16;10,92;2;9,76;4;7,15;12
Door;DOR4252GL;42(h)x52(L);42;0;52;Glass;45;16;21,84;2;19,47;5;14,89;15
Door;DOR4262WH;42(h)x62(L);42;0;62;White;49;16;13,02;2;11,16;5;8,23;11
Door;DOR4262MA;42(h)x62(L);42;0;62;Marron;49;16;13,02;2;11,54;5;7,83;17
Door;DOR4262GL;42(h)x62(L);42;0;62;Glass;48;16;26,04;2;20,85;9;18,22;15
Door;DOR5232WH;52(h)x32(L);52;0;32;White;47;16;8,32;2;7,25;7;5,23;16
Door;DOR5232MA;52(h)x32(L);52;0;32;Marron;43;16;8,32;2;7,15;11;5,24;13
Door;DOR5232GL;52(h)x32(L);52;0;32;Glass;46;16;16,64;2;13,7;13;11,12;9
Door;DOR5242WH;52(h)x42(L);52;0;42;White;41;16;10,92;2;9,12;12;6,96;14
Door;DOR5242MA;52(h)x42(L);52;0;42;Marron;45;16;10,92;2;8,76;3;6,97;10
Door;DOR5242GL;52(h)x42(L);52;0;42;Glass;44;16;21,84;2;18,81;12;14,55;15
Door;DOR5252WH;52(h)x52(L);52;0;52;White;49;16;13,52;2;11,01;11;8,29;10
Door;DOR5252MA;52(h)x52(L);52;0;52;Marron;42;16;13,52;2;11,66;6;8,43;12
Door;DOR5252GL;52(h)x52(L);52;0;52;Glass;47;16;27,04;2;23,04;12;17,02;11
Door;DOR5262WH;52(h)x62(L);52;0;62;White;40;16;16,12;2;13,86;4;10,95;13
Door;DOR5262MA;52(h)x62(L);52;0;62;Marron;46;16;32,24;2;25,99;11;21,36;10
Door;DOR5262GL;52(h)x62(L);52;0;62;Glass;46;16;32,24;2;27,45;8;20,61;17
Vertical Batten;VBA27;27(h32);32;0;0;;83;32;0,2;4;0,17;10;0,13;14
Vertical Batten;VBA37;37(h42);42;0;0;;84;32;0,3;4;0,25;4;0,19;8
Vertical Batten;VBA47;47(h52);52;0;0;;88;32;0,4;4;0,34;10;0,24;10
Front crossbar;FCB100;100(L);0;0;100;;48;16;2,2;2;1,93;5;1,48;12
Front crossbar;FCB120;120(L);0;0;120;;42;16;2,4;2;1,98;5;1,63;8
Front crossbar;FCB32;32(L);0;0;32;;45;16;1,5;2;1,32;8;1,05;16
Front crossbar;FCB42;42(L);0;0;42;;43;16;1,7;2;1,49;8;1,17;14
Front crossbar;FCB52;52(L);0;0;52;;44;16;1,8;2;1,53;6;1,2;9
Front crossbar;FCB62;62(L);0;0;62;;42;16;1,9;2;1,63;8;1,28;16
Front crossbar;FCB80;80(L);0;0;80;;44;16;2;2;1,61;4;1,21;12
Left or right crossbar;TRG32;32(p);0;32;0;;82;32;1;4;0,9;9;0,63;11
Left or right crossbar;TRG42;42(p);0;42;0;;83;32;1,2;4;1,01;4;0,76;17
Left or right crossbar;TRG52;52(p);0;52;0;;82;32;1,4;4;1,21;12;0,85;14
Left or right crossbar;TRG62;62(p);0;62;0;;82;32;1,6;4;1,43;8;0,98;12
Back crossbar;BCB100;100(L);0;0;100;;49;16;2;2;1,67;10;1,26;10
Back crossbar;BCB120;120(L);0;0;120;;49;16;2,2;2;1,88;4;1,38;10
Back crossbar;BCB32;32(L);0;0;32;;41;16;1;2;0,89;8;0,69;10
Back crossbar;BCB42;42(L);0;0;42;;44;16;1,2;2;0,98;10;0,75;10
Back crossbar;BCB52;52(L);0;0;52;;44;16;1,4;2;1,2;6;0,94;10
Back crossbar;BCB62;62(L);0;0;62;;44;16;1,6;2;1,35;12;1,11;10
Back crossbar;BCB80;80(L);0;0;80;;45;16;1,8;2;1,52;3;1,16;11
